time_value,hospital admission (percentage of new admissions that are covid),hospital admission-adj (percentage of new admissions that are covid),confirmed cases,total confirmed cases,death cases,total death cases
2020-03-01,0.11453986956521738,0.1151311304347826,6.0,40.0,0.0,3.0
2020-03-02,0.11775106521739126,0.11717545652173911,22.0,62.0,5.0,8.0
2020-03-03,0.11432713043478261,0.1138091956521739,19.0,81.0,1.0,9.0
2020-03-04,0.10846473913043476,0.10805276086956521,35.0,116.0,4.0,13.0
2020-03-05,0.10437502173913041,0.10412058695652174,66.0,182.0,1.0,14.0
2020-03-06,0.10491582608695653,0.10493821739130432,49.0,231.0,5.0,19.0
2020-03-07,0.11746895744680849,0.11791582978723404,124.0,355.0,3.0,22.0
2020-03-08,0.130514375,0.13100377083333334,116.0,471.0,3.0,25.0
2020-03-09,0.135915375,0.13588458333333336,259.0,730.0,6.0,31.0
2020-03-10,0.13843264583333334,0.13843766666666665,285.0,1015.0,3.0,34.0
2020-03-11,0.1417879791666667,0.14207268750000002,282.0,1297.0,6.0,40.0
2020-03-12,0.14256981250000003,0.14321679166666668,397.0,1694.0,4.0,44.0
2020-03-13,0.14752893749999998,0.14864754166666663,601.0,2295.0,7.0,51.0
2020-03-14,0.15799931249999996,0.15970306249999996,652.0,2947.0,10.0,61.0
2020-03-15,0.17859960416666668,0.17991770833333334,801.0,3748.0,7.0,68.0
2020-03-16,0.20173079166666671,0.200662625,967.0,4715.0,32.0,100.0
2020-03-17,0.22775962499999994,0.226762125,1571.0,6286.0,19.0,119.0
2020-03-18,0.2544354166666667,0.2542586458333333,2912.0,9198.0,42.0,161.0
2020-03-19,0.2858445208333333,0.28726745833333334,5022.0,14220.0,61.0,222.0
2020-03-20,0.32470733333333335,0.3281700624999999,4925.0,19145.0,41.0,263.0
2020-03-21,0.3695931875,0.37556418750000004,7324.0,26469.0,83.0,346.0
2020-03-22,0.44428755319148944,0.4484343617021276,7289.0,33758.0,100.0,446.0
2020-03-23,0.5113385217391303,0.5036483913043479,10121.0,43879.0,142.0,588.0
2020-03-24,0.6297984130434782,0.622374956521739,10027.0,53906.0,213.0,801.0
2020-03-25,0.767938456521739,0.7627139999999999,14710.0,68616.0,283.0,1084.0
2020-03-26,0.9269297826086956,0.9294000869565214,16502.0,85118.0,303.0,1387.0
2020-03-27,1.1219070434782608,1.133713152173913,17535.0,102653.0,399.0,1786.0
2020-03-28,1.2934770434782605,1.3152289782608697,20413.0,123066.0,550.0,2336.0
2020-03-29,1.5145181304347826,1.5289109782608692,18794.0,141860.0,423.0,2759.0
2020-03-30,1.700061361702128,1.6787246808510634,21998.0,163858.0,649.0,3408.0
2020-03-31,1.9346738936170214,1.9142960425531919,23110.0,186968.0,939.0,4347.0
2020-04-01,2.1733514347826093,2.1629137608695648,26433.0,213422.0,1048.0,5395.0
2020-04-02,2.629699936170213,2.6597478297872343,28750.0,242172.0,1270.0,6665.0
2020-04-03,3.2275263333333335,3.293234770833335,35204.0,277376.0,1350.0,8015.0
2020-04-04,3.926309999999999,4.0266745625,33816.0,311192.0,1392.0,9407.0
2020-04-05,4.630325291666667,4.711317145833333,24735.0,335927.0,1504.0,10911.0
2020-04-06,5.367082666666668,5.332636791666666,29892.0,365819.0,1547.0,12458.0
2020-04-07,6.015656145833332,5.983373520833335,30345.0,396164.0,2163.0,14621.0
2020-04-08,6.474263104166666,6.458257479166666,32661.0,428825.0,2082.0,16703.0
2020-04-09,6.759640750000003,6.784147708333333,33907.0,462732.0,1988.0,18691.0
2020-04-10,6.960455125,7.028429083333331,33189.0,495921.0,2506.0,21197.0
2020-04-11,7.004145224489794,7.110525142857143,31139.0,527060.0,1753.0,22950.0
